title,author,avg_rating,total_rating,top_genres,rating_distribution
The Outsiders,S.E. Hinton,4.11,1154240,"['Classics', 'Young Adult', 'Fiction', 'School', 'Read For School', 'Realistic Fiction', 'Coming Of Age', 'Historical Fiction']","[495218, 380383, 209317, 52354, 16978]"
The Odyssey,Homer,3.79,977235,[],[]
The Adventures of Huckleberry Finn,Mark Twain,3.83,1219260,[],[]
The Lovely Bones,Alice Sebold,3.84,2212287,[],[]
Where the Wild Things Are,Maurice Sendak,4.23,932236,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult', 'Animals']","[504702, 230792, 129597, 40759, 26386]"
Green Eggs and Ham,Dr. Seuss,4.3,711538,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor', 'Kids']","[402999, 173160, 95649, 24883, 14841]"
Life of Pi,Yann Martel,3.93,1503910,[],[]
A Tale of Two Cities,Charles Dickens,3.86,888429,[],[]
The Kite Runner,Khaled Hosseini,4.33,2826597,[],[]
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.84,1380469,[],[]
"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.13,1791030,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult', 'Audiobook']","[768743, 631947, 275729, 76754, 37858]"
Lolita,Vladimir Nabokov,3.88,760849,[],[]
Little Women,Louisa May Alcott,4.13,1984330,"['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature', 'Childrens']","[884923, 635449, 333632, 89281, 41046]"
"The Giver (The Giver, #1)",Lois Lowry,4.13,2165487,[],[]
Water for Elephants,Sara Gruen,4.1,1517659,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Book Club']","[608366, 560507, 262767, 63769, 22257]"
1984,George Orwell,4.19,3941310,[],[]
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,3316510,[],[]
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.09,1262206,"['Classics', 'Fiction', 'Science Fiction', 'War', 'Historical Fiction', 'Literature', 'Novels', 'Time Travel']","[536522, 423954, 208447, 61192, 32091]"
"Dune (Dune, #1)",Frank Herbert,4.25,1120290,[],[]
Catch-22,Joseph Heller,3.99,787062,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Humor', 'Literature', 'Novels', 'American']","[316672, 249593, 141377, 51225, 28197]"
The Stand,Stephen King,4.34,700392,"['Horror', 'Fiction', 'Fantasy', 'Science Fiction', 'Post Apocalyptic', 'Thriller', 'Dystopia', 'Apocalyptic']","[389518, 199586, 81593, 20407, 9293]"
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.33,712988,"['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Medieval', 'Audiobook', 'Novels']","[394153, 206496, 76902, 22537, 12901]"
The Bell Jar,Sylvia Plath,4.04,758895,[],[]
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.3,276090,[],[]
Matilda,Roald Dahl,4.33,819754,[],[]
"Watership Down (Watership Down, #1)",Richard  Adams,4.07,461099,"['Classics', 'Fiction', 'Fantasy', 'Young Adult', 'Animals', 'Childrens', 'Adventure', 'Literature']","[200667, 147024, 74776, 23163, 15472]"
Great Expectations,Charles Dickens,3.79,737130,[],[]
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,3566171,[],[]
Rebecca,Daphne du Maurier,4.24,554618,[],[]
"Outlander (Outlander, #1)",Diana Gabaldon,4.25,955342,[],[]
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.16,2949520,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Adult']","[1361030, 977658, 405432, 120093, 85318]"
One Flew Over the Cuckoo's Nest,Ken Kesey,4.2,688235,[],[]
My Sister's Keeper,Jodi Picoult,4.09,1147004,"['Fiction', 'Contemporary', 'Chick Lit', 'Young Adult', 'Drama', 'Adult', 'Adult Fiction', 'Realistic Fiction']","[469758, 403518, 200820, 51562, 21354]"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.38,2607248,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy', 'Audiobook']","[1546990, 673337, 264303, 72211, 50422]"
The Color Purple,Alice Walker,4.25,607957,"['Classics', 'Fiction', 'Historical Fiction', 'Feminism', 'LGBT', 'Historical', 'African American', 'Literature']","[293463, 206402, 81967, 18238, 7889]"
Anna Karenina,Leo Tolstoy,4.08,767704,[],[]
A Tree Grows in Brooklyn,Betty  Smith,4.28,429212,[],[]
The Brothers Karamazov,Fyodor Dostoevsky,4.35,285651,[],[]
A Clockwork Orange,Anthony Burgess,4.0,664802,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Horror', 'Novels', 'Modern Classics']","[249371, 239865, 120677, 34512, 20381]"
The Road,Cormac McCarthy,3.98,809626,"['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Classics', 'Horror', 'Literature', 'Novels']","[309431, 277515, 144223, 50832, 27625]"
"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,4.13,594377,[],[]
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,613037,"['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fiction', 'Supernatural']","[286611, 174820, 102407, 31394, 17806]"
